header, header, header.1
50,250,500
51,255,510
52,260,520
53,265,530
54,270,540
55,275,550
56,280,560
57,285,570
58,290,580
59,295,590
60,300,600
61,305,610
62,310,620
63,315,630
64,320,640
65,325,650
66,330,660
67,335,670
68,340,680
69,345,690
70,350,700
71,355,710
72,360,720
73,365,730
74,370,740
75,375,750
76,380,760
77,385,770
78,390,780
79,395,790
80,400,800
81,405,810
82,410,820
83,415,830
84,420,840
85,425,850
86,430,860
87,435,870
88,440,880
89,445,890
90,450,900
91,455,910
92,460,920
93,465,930
94,470,940
95,475,950
96,480,960
97,485,970
98,490,980
99,495,990
100,500,1000
101,505,1010
102,510,1020
103,515,1030
104,520,1040
105,525,1050
106,530,1060
107,535,1070
108,540,1080
109,545,1090
110,550,1100
111,555,1110
112,560,1120
113,565,1130
114,570,1140
115,575,1150
116,580,1160
117,585,1170
118,590,1180
119,595,1190
120,600,1200
121,605,1210
122,610,1220
123,615,1230
124,620,1240
125,625,1250
126,630,1260
127,635,1270
128,640,1280
129,645,1290
130,650,1300
131,655,1310
132,660,1320
133,665,1330
134,670,1340
135,675,1350
136,680,1360
137,685,1370
138,690,1380
139,695,1390
140,700,1400
141,705,1410
142,710,1420
143,715,1430
144,720,1440
145,725,1450
146,730,1460
147,735,1470
148,740,1480
149,745,1490
150,750,1500
151,755,1510
152,760,1520
153,765,1530
154,770,1540
155,775,1550
156,780,1560
157,785,1570
158,790,1580
159,795,1590
160,800,1600
161,805,1610
162,810,1620
163,815,1630
164,820,1640
165,825,1650
166,830,1660
167,835,1670
168,840,1680
169,845,1690
170,850,1700
171,855,1710
172,860,1720
173,865,1730
174,870,1740
175,875,1750
176,880,1760
177,885,1770
178,890,1780
179,895,1790
180,900,1800
181,905,1810
182,910,1820
183,915,1830
184,920,1840
185,925,1850
186,930,1860
187,935,1870
188,940,1880
189,945,1890
190,950,1900
191,955,1910
192,960,1920
193,965,1930
194,970,1940
195,975,1950
196,980,1960
197,985,1970
198,990,1980
199,995,1990
200,1000,2000
