participant,intervention,trial,clip,participant_trial_intervention_original,gopro_file,gopro_path,gopro_sf,gopro_ef,smartglass_path,smartglass_sf,smartglass_sf_file,smartglass_ef,smartglass_ef_file,start_ts,end_ts
NG1,defib,1,1,ng1_0_defib,GX010305_clipped_with_audio_start_2170_end_2380.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/0/interventions/defib,2170,2380,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/1/0/video,1128,frame_1128_seq-1155_source_ts-1716509184476_pc_ts1716509185256597500,1262,frame_1262_seq-1295_source_ts-1716509191635_pc_ts1716509192423027700,1716509185256597500,1716509192423027700
NG1,bvm,1,1,ng1_0_bvm,GX010305_clipped_with_audio_start_3710_end_3880.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/0/interventions/bvm,3710,3880,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/1/0/video,1962,frame_1962_seq-2014_source_ts-1716509235849_pc_ts1716509236645109600,2047,frame_2047_seq-2104_source_ts-1716509241049_pc_ts1716509241840937500,1716509236645109600,1716509241840937500
NG1,cpr,1,1,ng1_0_cpr,GX010305_clipped_with_audio_start_770_end_2150.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/0/interventions/cpr,770,2150,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/1/0/video,1000,frame_1000_seq-1027_source_ts-1716509177272_pc_ts1716509178062269900,1102,frame_1102_seq-1129_source_ts-1716509182800_pc_ts1716509183588729700,1716509178062269900,1716509183588729700
NG1,cpr,1,2,ng1_0_cpr,GX010305_clipped_with_audio_start_2450_end_2880.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/0/interventions/cpr,2450,2880,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/1/0/video,1295,frame_1295_seq-1328_source_ts-1716509193785_pc_ts1716509194595108500,1514,frame_1514_seq-1551_source_ts-1716509208387_pc_ts1716509209170459900,1716509194595108500,1716509209170459900
NG1,cpr,1,3,ng1_0_cpr,GX010305_clipped_with_audio_start_3170_end_3700.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/0/interventions/cpr,3170,3700,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/1/0/video,1692,frame_1692_seq-1736_source_ts-1716509217975_pc_ts1716509218771294900,1967,frame_1967_seq-2019_source_ts-1716509236159_pc_ts1716509236943679700,1716509218771294900,1716509236943679700
NG1,bvm,2,1,ng1_1_bvm,GX010306_clipped_with_audio_start_1870_end_1940.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/1/interventions/bvm,1870,1940,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/2/0/video,1066,frame_1066_seq-4097_source_ts-1716509504813_pc_ts1716509505589472900,1107,frame_1107_seq-4142_source_ts-1716509507078_pc_ts1716509507860981800,1716509505589472900,1716509507860981800
NG1,bvm,2,2,ng1_1_bvm,GX010306_clipped_with_audio_start_2480_end_2560.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/1/interventions/bvm,2480,2560,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/2/0/video,1272,frame_1272_seq-4311_source_ts-1716509515550_pc_ts1716509516331708900,1314,frame_1314_seq-4357_source_ts-1716509517863_pc_ts1716509518648366100,1716509516331708900,1716509518648366100
NG1,cpr,2,1,ng1_1_cpr,GX010306_clipped_with_audio_start_540_end_720.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/1/interventions/cpr,540,720,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/2/0/video,204,frame_204_seq-3189_source_ts-1716509460443_pc_ts1716509461225998700,316,frame_316_seq-3307_source_ts-1716509466368_pc_ts1716509467159904100,1716509461225998700,1716509467159904100
NG1,cpr,2,2,ng1_1_cpr,GX010306_clipped_with_audio_start_1580_end_1870.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/1/interventions/cpr,1580,1870,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/2/0/video,873,frame_873_seq-3902_source_ts-1716509495030_pc_ts1716509495816197600,1063,frame_1063_seq-4094_source_ts-1716509504664_pc_ts1716509505455555500,1716509495816197600,1716509505455555500
NG1,cpr,2,3,ng1_1_cpr,GX010306_clipped_with_audio_start_1950_end_2470.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/1/interventions/cpr,1950,2470,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/2/0/video,1110,frame_1110_seq-4145_source_ts-1716509507222_pc_ts1716509508002250600,1456,frame_1456_seq-4502_source_ts-1716509525134_pc_ts1716509525919484500,1716509508002250600,1716509525919484500
NG1,defib,2,1,ng1_1_defib,GX010306_clipped_with_audio_start_740_end_960.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/1/interventions/defib,740,960,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/2/0/video,329,frame_329_seq-3321_source_ts-1716509467006_pc_ts1716509467787900900,472,frame_472_seq-3470_source_ts-1716509474407_pc_ts1716509475198859700,1716509467787900900,1716509475198859700
NG1,bvm,3,1,ng1_2_bvm,GX010307_clipped_with_audio_start_1400_end_1500.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/2/interventions/bvm,1400,1500,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/3/0/video,880,frame_880_seq-6057_source_ts-1716509694321_pc_ts1716509695104760500,937,frame_937_seq-6115_source_ts-1716509697232_pc_ts1716509698013788100,1716509695104760500,1716509698013788100
NG1,bvm,3,2,ng1_2_bvm,GX010307_clipped_with_audio_start_1950_end_2050.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/2/interventions/bvm,1950,2050,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/3/0/video,1051,frame_1051_seq-6232_source_ts-1716509703101_pc_ts1716509703879557200,1117,frame_1117_seq-6301_source_ts-1716509706567_pc_ts1716509707357850900,1716509703879557200,1716509707357850900
NG1,cpr,3,1,ng1_2_cpr,GX010307_clipped_with_audio_start_1160_end_1370.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/2/interventions/cpr,1160,1370,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/3/0/video,723,frame_723_seq-5895_source_ts-1716509686193_pc_ts1716509686992581200,867,frame_867_seq-6043_source_ts-1716509693620_pc_ts1716509694398178400,1716509686992581200,1716509694398178400
NG1,cpr,3,2,ng1_2_cpr,GX010307_clipped_with_audio_start_190_end_410.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/2/interventions/cpr,190,410,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/3/0/video,106,frame_106_seq-5250_source_ts-1716509653898_pc_ts1716509654694488200,245,frame_245_seq-5393_source_ts-1716509661070_pc_ts1716509661867797600,1716509654694488200,1716509661867797600
NG1,cpr,3,3,ng1_2_cpr,GX010307_clipped_with_audio_start_1510_end_1680.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/2/interventions/cpr,1510,1680,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/3/0/video,942,frame_942_seq-6120_source_ts-1716509697485_pc_ts1716509698261163100,1055,frame_1055_seq-6236_source_ts-1716509703302_pc_ts1716509704083792600,1716509698261163100,1716509704083792600
NG1,cpr,3,4,ng1_2_cpr,GX010307_clipped_with_audio_start_1690_end_1940.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/2/interventions/cpr,1690,1940,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/3/0/video,1063,frame_1063_seq-6245_source_ts-1716509703751_pc_ts1716509704523568400,1222,frame_1222_seq-6409_source_ts-1716509711988_pc_ts1716509712770456900,1716509704523568400,1716509712770456900
NG1,defib,3,1,ng1_2_defib,GX010307_clipped_with_audio_start_450_end_680.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/2/interventions/defib,450,680,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/3/0/video,271,frame_271_seq-5421_source_ts-1716509662477_pc_ts1716509663284909100,417,frame_417_seq-5571_source_ts-1716509669934_pc_ts1716509670724617000,1716509663284909100,1716509670724617000
NG1,bvm,4,1,ng1_3_bvm,GX010308_clipped_with_audio_start_840_end_930.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/3/interventions/bvm,840,930,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/4/0/video,452,frame_452_seq-8544_source_ts-1716509898591_pc_ts1716509899384396900,504,frame_504_seq-8598_source_ts-1716509901441_pc_ts1716509902213192100,1716509899384396900,1716509902213192100
NG1,bvm,4,2,ng1_3_bvm,GX010308_clipped_with_audio_start_1860_end_1960.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/3/interventions/bvm,1860,1960,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/4/0/video,1095,frame_1095_seq-9210_source_ts-1716509932477_pc_ts1716509933257006700,1149,frame_1149_seq-9266_source_ts-1716509935284_pc_ts1716509936070665000,1716509933257006700,1716509936070665000
NG1,bvm,4,3,ng1_3_bvm,GX010308_clipped_with_audio_start_2230_end_3230.mp4,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/gopro/ng1/3/interventions/bvm,2230,3230,/standard/UVA-DSA/NIST EMS Project Data/CognitiveEMS_Datasets/North_Garden/May_2024/May_data_north_garden/smartglass_smartwatch/NG1/4/0/video,1338,frame_1338_seq-9456_source_ts-1716509944870_pc_ts1716509945656518200,1830,frame_1830_seq-9956_source_ts-1716509978256_pc_ts1716509979052429000,1716509945656518200,1716509979052429000
