,avg speech latency,whisper confidence,WER,CER,avg protocol latency (ms),protocol confidence,"protocol correct? (1 = True, 0 = False, -1=None given)",tn,fp,fn,tp
000_190105,806.4411764705883,0.893276,0.16822429906542055,0.09523809523809523,8.34309,0.9999396800994873,1.0,42.0,0.0,0.0,1.0
001_190105,761.6896551724138,0.534441,0.12648221343873517,0.0856372218476062,9.353864017241378,0.9995784163475037,1.0,42.0,0.0,0.0,1.0
002_190105,729.0232558139535,0.917512,0.13836477987421383,0.09512485136741974,8.280800348837209,0.9586257338523865,0.0,41.0,1.0,1.0,0.0
003_190105,737.5217391304348,0.896905,0.05325443786982249,0.031446540880503145,9.344622913043478,0.9837672710418701,0.0,40.0,2.0,1.0,0.0
004_190105,755.4313725490196,0.916143,0.10638297872340426,0.07902439024390244,9.67284649019608,0.9932814836502075,1.0,42.0,0.0,0.0,1.0
005_190105,761.375,0.921628,0.14634146341463414,0.1157167530224525,9.562622354166667,0.9997982382774353,1.0,42.0,0.0,0.0,1.0
006_190105,762.0,0.921867,0.04932735426008968,0.02722177742193755,9.749390631578946,0.9997195601463318,1.0,42.0,0.0,0.0,1.0
007_190105,732.3333333333334,0.830787,0.13513513513513514,0.10397946084724005,9.10849869047619,0.9967617392539978,1.0,42.0,0.0,0.0,1.0
008_190105,817.8936170212766,0.898347,0.19298245614035087,0.15795090715048027,9.950854808510638,0.8293520212173462,1.0,42.0,0.0,0.0,1.0
009_190105,788.5116279069767,0.924499,0.10119047619047619,0.09694989106753812,8.962648651162791,0.9980629086494446,1.0,42.0,0.0,0.0,1.0
010_190105,790.1,0.866288,0.10909090909090909,0.05147864184008762,9.9556492,0.7373261451721191,0.0,41.0,1.0,1.0,0.0
011_190105,792.0142857142857,0.910599,0.1947565543071161,0.11219195849546044,11.247913585714285,0.3673859238624573,0.0,41.0,1.0,1.0,0.0
overall average,769.5279219260236,0.8693576666666666,0.1267944214591923,0.08766337411856029,9.461066807577305,0.9052999267975489,0.6666666666666666,41.583333333333336,0.4166666666666667,0.3333333333333333,0.6666666666666666
