,avg speech latency,whisper confidence,WER,CER,avg protocol latency (ms),protocol confidence,"protocol correct? (1 = True, 0 = False, -1=None given)",tn,fp,fn,tp
000_190105,725.6,0.759915,0.21495327102803738,0.11827956989247312,3.7239000285714283,0.9985388517379761,1.0,42.0,0.0,0.0,1.0
001_190105,791.448275862069,0.568675,0.21739130434782608,0.15374241402562375,5.131466568965516,0.9994875192642212,1.0,42.0,0.0,0.0,1.0
002_190105,744.3023255813954,0.778733,0.13836477987421383,0.07491082045184304,5.210831441860464,0.9949392080307007,0.0,41.0,1.0,1.0,0.0
003_190105,740.195652173913,0.820723,0.15976331360946747,0.07547169811320754,4.886948695652174,0.9935129284858704,0.0,41.0,1.0,1.0,0.0
004_190105,730.5192307692307,0.775852,0.14893617021276595,0.08390243902439025,4.835209653846154,0.8576264977455139,0.0,41.0,2.0,0.0,0.0
005_190105,754.8541666666666,0.79378,0.12682926829268293,0.08981001727115717,4.990519375000001,0.992872953414917,1.0,42.0,0.0,0.0,1.0
006_190105,759.0175438596491,0.815225,0.18385650224215247,0.14011208967173738,4.872471157894737,0.9997051358222961,1.0,42.0,0.0,0.0,1.0
007_190105,750.452380952381,0.840492,0.20945945945945946,0.15789473684210525,4.8853007619047615,0.9977487921714783,1.0,42.0,0.0,0.0,1.0
008_190105,747.469387755102,0.626176,0.19883040935672514,0.16008537886872998,4.980797387755103,0.9774779081344604,0.0,42.0,1.0,0.0,0.0
009_190105,756.3636363636364,0.568535,0.17261904761904762,0.11982570806100218,4.974912295454545,0.9973021745681763,1.0,42.0,0.0,0.0,1.0
010_190105,768.8,0.793214,0.16363636363636364,0.0887185104052574,5.5847806,0.9932942390441895,0.0,42.0,1.0,0.0,0.0
011_190105,766.3380281690141,0.744485,0.21722846441947566,0.10765239948119326,4.778753450704224,0.15138643980026245,1.0,42.0,0.0,0.0,1.0
overall average,752.9467190127547,0.74048375,0.17932236284151812,0.11420048184239336,4.904657618134093,0.9128243873516718,0.5833333333333334,41.75,0.5,0.16666666666666666,0.5833333333333334
