,avg speech latency,whisper confidence,WER,CER,avg protocol latency (ms),protocol confidence,"protocol correct? (1 = True, 0 = False, -1=None given)",tn,fp,fn,tp
000_190105,352.8857142857143,0.716018,0.24299065420560748,0.1382488479262673,4.818929714285714,0.9997695088386536,1.0,41.0,1.0,0.0,1.0
001_190105,368.2931034482759,0.4795,0.308300395256917,0.20161834120026972,4.7640242241379305,0.997890293598175,1.0,42.0,0.0,0.0,1.0
002_190105,359.6744186046512,0.687482,0.13836477987421383,0.07491082045184304,4.8643583953488365,0.9957107305526733,0.0,41.0,1.0,1.0,0.0
003_190105,345.04347826086956,0.753138,0.28402366863905326,0.17714884696016772,4.829432978260869,0.8018876910209656,0.0,40.0,2.0,1.0,0.0
004_190105,344.6923076923077,0.762515,0.1595744680851064,0.07317073170731707,5.877287538461538,0.9048246741294861,0.0,42.0,1.0,0.0,0.0
005_190105,355.8541666666667,0.612954,0.1951219512195122,0.13126079447322972,4.659591604166667,0.3446425497531891,1.0,42.0,0.0,0.0,1.0
006_190105,358.64912280701753,0.738997,0.18385650224215247,0.13931144915932747,4.846038473684211,0.9994282126426697,1.0,42.0,0.0,0.0,1.0
007_190105,356.07142857142856,0.841148,0.24324324324324326,0.14120667522464697,5.345214785714286,0.986974835395813,1.0,42.0,0.0,0.0,1.0
008_190105,346.1020408163265,0.624557,0.23391812865497075,0.17929562433297758,5.421752204081633,0.9181045889854431,0.0,42.0,1.0,0.0,0.0
009_190105,355.47727272727275,0.622314,0.2916666666666667,0.21241830065359477,4.467842272727274,0.9202287197113037,1.0,42.0,0.0,0.0,1.0
010_190105,355.1,0.696228,0.16363636363636364,0.12814895947426067,5.0642142,0.9978004097938538,0.0,42.0,1.0,0.0,0.0
011_190105,364.4366197183099,0.635694,0.30337078651685395,0.18417639429312582,5.83954923943662,0.957125186920166,1.0,42.0,0.0,0.0,1.0
overall average,355.18997279990344,0.6808787500000001,0.22900563402005505,0.14840964882141897,5.066519635858799,0.9020322834451994,0.5833333333333334,41.666666666666664,0.5833333333333334,0.16666666666666666,0.5833333333333334
