,avg speech latency,whisper confidence,WER,CER,avg protocol latency (ms),protocol confidence,"protocol correct? (1 = True, 0 = False, -1=None given)",tn,fp,fn,tp
000_190105,343.34285714285716,0.718752,0.205607476635514,0.10906298003072197,4.046651714285714,0.9998292922973633,1.0,42.0,0.0,0.0,1.0
001_190105,376.2413793103448,0.824628,0.1976284584980237,0.09575185434929198,5.47465203448276,0.9994920492172241,1.0,42.0,0.0,0.0,1.0
002_190105,367.0,0.757171,0.25157232704402516,0.14982164090368608,4.861958906976744,0.9587029814720154,0.0,41.0,1.0,1.0,0.0
003_190105,358.7173913043478,0.766686,0.1952662721893491,0.10062893081761007,5.504752217391305,0.979013979434967,0.0,41.0,1.0,1.0,0.0
004_190105,355.61538461538464,0.776085,0.15425531914893617,0.0624390243902439,7.465451903846153,0.994164764881134,0.0,42.0,1.0,0.0,0.0
005_190105,361.8541666666667,0.722703,0.1073170731707317,0.05181347150259067,9.342602729166666,0.9903228282928467,1.0,42.0,0.0,0.0,1.0
006_190105,365.2105263157895,0.768523,0.1210762331838565,0.059247397918334666,9.319867385964912,0.9988319277763367,1.0,42.0,0.0,0.0,1.0
007_190105,368.5,0.633086,0.3108108108108108,0.20667522464698332,7.34232238095238,0.9199197888374329,0.0,40.0,2.0,0.0,1.0
008_190105,346.44897959183675,0.602278,0.19883040935672514,0.1664887940234792,5.185605632653061,0.9721107482910156,0.0,42.0,1.0,0.0,0.0
009_190105,354.6136363636364,0.678941,0.20833333333333334,0.1187363834422658,5.588550181818182,0.7794800400733948,1.0,42.0,0.0,0.0,1.0
010_190105,360.95,0.791184,0.17575757575757575,0.12924424972617743,5.72778495,0.9949589371681213,0.0,42.0,1.0,0.0,0.0
011_190105,358.4788732394366,0.663716,0.24344569288389514,0.1297016861219196,4.5988455915492965,0.642356276512146,1.0,41.0,1.0,0.0,1.0
overall average,359.747766212525,0.72531275,0.19749174850106468,0.11496763648944207,6.204920469090598,0.9357653011878332,0.5,41.583333333333336,0.6666666666666666,0.16666666666666666,0.5833333333333334
