Required Concept,CUI,Preferred Name
mdi,C0993596,Metered Dose Inhaler
,C1839839,MAJOR AFFECTIVE DISORDER 2
,C4049613,Myositis Damage Index
,C0046401,"2-n-butyl-3-(dimethylamino)-5,6-methylenedioxyindene"
,C0045970,"2-butyl-1-(N-methyl-N-(2-(N',N'-dimethylamino)ethyl)amino)-5,6-methylenedioxyindene"
,C0046406,"2-n-propyl-3-dimethylamino-5,6-methylenedioxyindene"
,C0084193,propylmethylenedioxyindene
,C0256037,"polymeric 4,4'-diphenylmethane diisocyanate"
,C0632255,"2-butyl-3-(dimethylamino)-5,6-methylenedioxyindan"
,C0638808,"2-(n-butyl)-1-(N-methyl-N-(2-(N',N'-dimethylamino)ethyl)amino)-5,6-methylenedioxyindane"
,C1455259,MDI 301
,C1722430,methylenediphenyl diisocyanate-glutathione adduct
,C2932276,N6-(((4-(4-aminobenzyl)phenyl)amino)carbonyl)lysine
,C0005586,Bipolar Disorder
,C0047822,"4,4'-diphenylmethane diisocyanate"
,C0253691,MDI radiation protective agent
,C0290471,"5,6,6'-trimethoxy-3',4'-methylenedioxyisoflavone 7-O-(2''-O-4-coumaroylglucopyranoside)"
,C0418991,Metered dose inhaler therapy
,C0484030,Diphenylmethane diisocyanate (MDI) Ab.IgE:ACnc:Pt:Ser:Qn
,C0487024,Diphenylmethane diisocyanate (MDI) Ab.IgE
,C0725073,AeroChamber MDI Spacer
,C0725878,Doser MDI Device
,C0798964,Diphenylmethane diisocyanate (MDI) Ab.IgE.RAST class:PrThr:Pt:Ser:Ord
,C0798965,Toluene diisocyanate (TDI) Ab.IgE.RAST class:PrThr:Pt:Ser:Ord
,C1271818,Isocyanate MDI RAST
,C1440834,Diphenylmethane diisocyanate (MDI)
,C1526737,Diphenylmethane diisocyanate (MDI):MCnc:Pt:Air:Qn
,C1990921,Isocyanate MDI | air
,C2963446,Diphenylmethane diisocyanate (MDI) Ab
,C2963447,Diphenylmethane diisocyanate (MDI) Ab.IgG
,C2970257,Diphenylmethane diisocyanate (MDI) Ab.IgG:MCnc:Pt:Ser:Qn
,C0806540,Diphenylmethane diisocyanate (MDI) Ab.IgE.RAST class
,C3530849,OptiHaler MDI Drug Delivery System
,C4256220,My MDI Portable Nebulizer Procedure Pack
,C0798410,(Hexamethylene diisocyanate (HDI)+Diphenylmethane diisocyanate (MDI)+Toluene diisocyanate (TDI)+Phthalic anhydride) Ab.IgE:PrThr:Pt:Ser:Ord:Multidisk
,C1440030,(Hexamethylene diisocyanate (HDI)+Diphenylmethane diisocyanate (MDI)+Toluene diisocyanate (TDI)+Phthalic anhydride)
,C3654273,(Hexamethylene diisocyanate (HDI)+Diphenylmethane diisocyanate (MDI)+Toluene diisocyanate (TDI)+Phthalic anhydride) Ab.IgE:ACnc:Pt:Ser:Qn:Multidisk
,C4264818,(Hexamethylene diisocyanate (HDI)+Diphenylmethane diisocyanate (MDI)+Toluene diisocyanate (TDI)+Phthalic anhydride) Ab.IgE.RAST class:PrThr:Pt:Ser:Ord:Multidisk
,C0804922,(Hexamethylene diisocyanate (HDI)+Diphenylmethane diisocyanate (MDI)+Toluene diisocyanate (TDI)+Phthalic anhydride) Ab.IgE
