Required Concept,CUI
Pulse,C0034107
,C0232117
,C0391850
,C1947910
,C1708738
,C0034108
,C0034109
,C0039231
,C0182109
,C0182321
,C0199614
,C0232108
,C0232118
,C0232119
,C0232120
,C0232122
,C0232123
,C0232124
,C0232125
,C0232126
,C0232127
,C0232129
,C0232130
,C0232131
,C0232132
,C0232139
,C0232142
,C0232145
,C0232148
,C0232151
,C0232154
,C0232157
,C0234826
,C0235472
,C0235477
,C0237313
,C0277898
,C0277899
,C0277903
,C0277904
,C0277905
,C0277906
,C0277907
,C0277908
,C0392684
,C0399565
,C0425562
,C0425564
,C0425565
,C0018810
,C0425570
Resp,C0231832
,C0035203
,C0252961
,C0488058
,C0489258
,C0802902
,C2598485
,C4050166
,C3169705
,C3169706
,C4070204
,C0035220
,C0041327
,C0041912
,C0149725
,C0231837
,C0236163
,C0367506
,C0367507
,C0367510
,C0368555
,C0438116
,C0489264
,C0489265
,C0489268
,C0489269
,C0489272
,C0489273
,C0489274
,C0489275
,C0489276
,C0489277
,C0489278
,C0489279
,C0489280
,C0489281
,C0489282
,C0489283
,C0489284
,C0489285
,C0489286
,C0489287
,C0552285
,C0849154
,C0849167
,C0849331
,C1148039
,C1148089
,C1148094
,C1148099
,C1315920
BP,C0005823
,C0005824
,C0037623
,C0057191
,C1415692
,C1704305
,C1708288
,C2986841
,C4318478
,C0671720
,C0020538
,C0020649
,C0026426
,C0053981
,C0056193
,C0067510
,C0076886
,C0077281
,C0106970
,C0122592
,C0123921
,C0162919
,C0169614
,C0183427
,C0262395
,C0292204
,C0385623
,C0388311
,C0388313
,C0428883
,C0428895
,C0439776
,C0439779
,C0488046
,C0488052
,C0488053
,C0488055
,C0497247
,C0540496
,C0611661
,C0619022
,C0628295
,C0631744
,C0632343
,C0655435
,C0871470
,C0906783
,C0907936
,C0950594
,C1271104
,C1260041
GCS,C0017594
,C1415097
,C1421319
,C1522376
,C1704697
,C4283742
,C4283933
,C0488481
,C0488482
,C0488483
,C0488484
,C0968654
,C1517431
,C1690444
,C4086340
,C0551549
,C0551550
,C0551551
,C0559289
,C0559290
,C0559291
,C1271007
,C1415361
,C1519417
,C1519418
,C1519419
,C1519420
,C1522380
,C2706675
,C4086362
,C1122439
,C4086058
,C4086059
,C4086341
,C4086343
,C4086344
,C4086345
,C4086346
,C4086347
,C4086348
,C4086337
,C4086338
,C4086339
,C4086342
,C4086349
,C3844656
,C2732965
,C4067481
,C4067521
,C4067479
Glucose,C0017725
,C0337438
,C0364492
,C0369269
,C0373621
,C0490221
,C0493195
,C0765796
,C0001460
,C0003729
,C0004076
,C0005802
,C0015159
,C0017696
,C0017715
,C0017730
,C0017734
,C0017735
,C0017742
,C0017761
,C0017979
,C0020456
,C0022840
,C0031653
,C0041988
,C0043771
,C0053308
,C0059829
,C0061401
,C0061406
,C0061407
,C0061408
,C0061437
,C0061982
,C0079318
,C0082716
,C0082717
,C0119421
,C0119422
,C0163570
,C0164537
,C0166821
,C0178665
,C0178666
,C0182876
,C0202040
,C0202041
,C0202042
,C0202048
,C0220837
SPO2,C0428179
,C0456222
,C0513686
,C0999881
,C1298690
,C0182109
,C0994593
,C1318118
,C2317096
,C4162933
,C0523807
,C0300971
,C0522534
,C1608366
Pain,C0006138
,C0030193
,C0518090
,C1549543
,C1557397
,C1882272
,C2598155
,C2984058
,C4085210
,C4085211
,C4085212
,C0234225
,C3891813
,C4050153
,C4521576
,C0002766
,C0476289
,C2367761
,C2367762
,C2707301
,C2707302
,C4489337
,C4489338
,C4489339
,C4489692
,C0000737
,C0002771
,C0002962
,C0003862
,C0004604
,C0007462
,C0007859
,C0008031
,C0008033
,C0009193
,C0013390
,C0013428
,C0013456
,C0015468
,C0016199
,C0016512
,C0017672
,C0018681
,C0019559
,C0023222
,C0024031
,C0024902
,C0026858
,C0027796
,C0028246
EKG,C0013798
,C1623258
,C0013799
,C0015260
,C0042434
,C0177284
,C0179504
,C0179525
,C0180580
,C0180600
,C0180633
,C0183312
,C0199556
,C0232304
,C0232305
,C0232306
,C0232307
,C0232309
,C0438154
,C0488284
,C0488294
,C0488295
,C0488298
,C0488299
,C0488300
,C0488301
,C0488315
,C0489484
,C0522054
,C0522055
,C0551716
,C0553601
,C0577810
,C0725962
,C0725963
,C0728839
,C0743422
,C0801815
,C0801842
,C0855329
,C0947984
,C1304755
,C1548933
,C1714882
,C1721096
,C1832603
,C1960143
,C2747849
,C3642352
,C1316996
gender,C0079399
,C1522384
,C3854125
,C0017249
,C0017253
,C0036866
,C0036891
,C0086287
,C0086582
,C0205906
,C0242360
,C0282206
,C0679961
,C0683640
,C0686346
,C0852312
,C1271088
,C1271089
,C1287419
,C1550327
,C1553538
,C1706180
,C1710069
,C3839079
,C3839293
,C1705497
,C0043210
age,C0001779
,C0439234
,C0439508
,C0001578
,C0001675
,C0007667
,C0008059
,C0008100
,C0178694
,C0596727
,C0596728
,C0596947
,C0597696
,C3843802
,C3843803
,C3843804
,C3843805
,C3843806
,C3843807
,C3862532
,C4035139
,C4035745
,C4035746
,C4035747
,C4035748
,C4035749
,C4035750
,C4035751
,C4035752
,C4035753
,C4035754
,C4035755
,C4035756
,C1648826
,C1706730
,C1707381
,C2219713
,C0231338
,C0419432
