present	absent
calm	agitated
unagitated	agitated
calmness	agitation
heat	cool
warm	cool
increase	decreased
increased	decreased
physical	mental
hypoglycemia	hyperglycemia
hypotension	hypertension
hypothermia	hyperthermia
hyperglycemia	hypoglycemia
hypertension	hypotension
hyperthermia	hypothermia
ignore	known
unknown	known
ill	well
badly	well
disadvantageously	well
gain	loss
unconsciousness	consciousness
incognizance	consciousness
stay	changes
unpin	pin
unpointedness	point
flexibility	rigidity
longness	shortness
tallness	shortness
wakefulness	sleepiness
equal	unequal
adequate	unequal
nonviolent	violent
strength	weakness
