,Medical - Chest pain - Cardiac Suspected,Medical - ST Elevation Myocardial Infarction,Medical - Pulmonary Edema/CHF,Medical - Hypotension/Shock(Non-trauma) (Cardiogenic shock),Medical - Abdominal Aortic Aneurysm/Dissection,Cardiac Arrest - Unknown Rhythm (i.e. BLS),General - Cardiac Arrest,Medical - Supraventricular Tachycardia (including atrial fibrillation); Medical - Tachycardia; Medical - Ventricular Tachycardia with a Pulse,Medical - Bradycardia,General - Universal Patient Care/Initial Patient Contact,Medical - Abdominal Pain,Medical - Allergic Reaction/Anaphylaxis,General - Behavioral/Patient Restraint,Medical - Stroke/TIA,Medical - Dystonic/Extrapyramidal Reaction,Medical - Diabetic - Hyperglycemia,Medical - Diabetic - Hypoglycemia,Medical - Nausea/Vomiting,General - Pain Control,Medical - Respiratory Distress/Asthma/COPD/Croup/Reactive Airway,Medical - Seizure,Medical - Hypotension/Shock(Non-trauma),Medical - Sickle Cell Anemia/Crisis,Medical - Altered Mental Status,Airway - Failed,Medical - Sepsis,Medical - Overdose/Poisoning - Opioid,Medical - Overdose/Poisoning - Stimulant,medical - Overdose/Poisoning - Tricyclic Anti-depressant,Exposure- Organophosphate,Medical - Overdose/Poisoning - Calcium Channel Blocker,Medical - Overdose/Poisoning - Beta Blocker,Environmental - Hypothermia,Environmental - Heat Exposure/Heat Exhaustion; Environmental - Heat Stroke,Injury - Bites and Envenomations - Land,Injury - Diving Emergencies; Injury - Drowning/Near Drowning
Medical - Chest pain - Cardiac Suspected,1,1,0.416025147,0.350823208,0.138675049,0.098058068,0.098058068,0.277350098,0.370624658,0.370624658,0.326356976,0.320256308,0.26148818,0.230769231,0.250872603,0.098058068,0.138675049,0.296499727,0.496138938,0.087705802,0,0.277350098,0.277350098,0.092450033,0,0.240192231,0.087705802,0.098058068,0.087705802,0.175411604,0,0,0.250872603,0.44474959,0.334496804,0.104828484
Medical - ST Elevation Myocardial Infarction,1,1,0.416025147,0.350823208,0.138675049,0.098058068,0.098058068,0.277350098,0.370624658,0.370624658,0.326356976,0.320256308,0.26148818,0.230769231,0.250872603,0.098058068,0.138675049,0.296499727,0.496138938,0.087705802,0,0.277350098,0.277350098,0.092450033,0,0.240192231,0.087705802,0.098058068,0.087705802,0.175411604,0,0,0.250872603,0.44474959,0.334496804,0.104828484
Medical - Pulmonary Edema/CHF,0.416025147,0.416025147,1,0.553398591,0.125,0.176776695,0.088388348,0.166666667,0.734968415,0.734968415,0.294174203,0.721687836,0.530330086,0.416025147,0.376889181,0.088388348,0.3125,0.267261242,0.111803399,0.395284708,0.083333333,0.5,0.375,0.166666667,0,0.577350269,0.237170825,0.265165043,0.237170825,0.237170825,0.25,0.288675135,0.603022689,0.801783726,0.678400525,0.283473355
Medical - Hypotension/Shock(Non-trauma) (Cardiogenic shock),0.350823208,0.350823208,0.553398591,1,0.158113883,0.111803399,0.111803399,0.316227766,0.591607978,0.591607978,0.186052102,0.63900965,0.521749195,0.350823208,0.381385036,0.335410197,0.474341649,0.169030851,0,0.2,0.105409255,0.948683298,0.316227766,0.316227766,0,0.821583836,0.3,0.223606798,0.3,0.3,0.158113883,0.182574186,0.572077554,0.676123404,0.667423812,0.239045722
Medical - Abdominal Aortic Aneurysm/Dissection,0.138675049,0.138675049,0.125,0.158113883,1,0.530330086,0.530330086,0.333333333,0.133630621,0.133630621,0,0,0,0.138675049,0.150755672,0.176776695,0.25,0,0.223606798,0.158113883,0,0.166666667,0.25,0.166666667,0,0.144337567,0.316227766,0.353553391,0.316227766,0.158113883,0,0,0,0,0,0
Cardiac Arrest - Unknown Rhythm (i.e. BLS),0.098058068,0.098058068,0.176776695,0.111803399,0.530330086,1,0.625,0.471404521,0.283473355,0.283473355,0.069337525,0.204124145,0.166666667,0.39223227,0.213200716,0.125,0.176776695,0,0.158113883,0.223606798,0.11785113,0.11785113,0.176776695,0.471404521,0,0.204124145,0.447213595,0.5,0.447213595,0.223606798,0.353553391,0.204124145,0.213200716,0.188982237,0,0.400891863
General - Cardiac Arrest,0.098058068,0.098058068,0.088388348,0.111803399,0.530330086,0.625,1,0.824957911,0.283473355,0.283473355,0.069337525,0,0,0.196116135,0.213200716,0.125,0.176776695,0,0.158113883,0.111803399,0.11785113,0.11785113,0.176776695,0.353553391,0.353553391,0.102062073,0.447213595,0.375,0.447213595,0.111803399,0.176776695,0,0,0.094491118,0,0.133630621
Medical - Supraventricular Tachycardia (including atrial fibrillation); Medical - Tachycardia; Medical - Ventricular Tachycardia with a Pulse,0.277350098,0.277350098,0.166666667,0.316227766,0.333333333,0.471404521,0.824957911,1,0.356348323,0.356348323,0.065372045,0.096225045,0.07856742,0.184900065,0.201007563,0.23570226,0.166666667,0,0.149071198,0.210818511,0.111111111,0.222222222,0.333333333,0.444444444,0.333333333,0.288675135,0.421637021,0.353553391,0.421637021,0,0.166666667,0,0,0.267261242,0.100503782,0.125988158
Medical - Bradycardia,0.370624658,0.370624658,0.734968415,0.591607978,0.133630621,0.283473355,0.283473355,0.356348323,1,1,0.314485451,0.694365075,0.503952631,0.44474959,0.483493778,0.094491118,0.267261242,0.285714286,0.119522861,0.084515425,0.178174161,0.534522484,0.400891863,0.356348323,0,0.540061725,0.338061702,0.188982237,0.338061702,0.253546276,0.400891863,0.46291005,0.725240668,0.785714286,0.725240668,0.505076272
General - Universal Patient Care/Initial Patient Contact,0.370624658,0.370624658,0.734968415,0.591607978,0.133630621,0.283473355,0.283473355,0.356348323,1,1,0.314485451,0.694365075,0.503952631,0.44474959,0.483493778,0.094491118,0.267261242,0.285714286,0.119522861,0.084515425,0.178174161,0.534522484,0.400891863,0.356348323,0,0.540061725,0.338061702,0.188982237,0.338061702,0.253546276,0.400891863,0.46291005,0.725240668,0.785714286,0.725240668,0.505076272
