,Medical - Chest pain - Cardiac Suspected,Medical - ST Elevation Myocardial Infarction,Medical - Pulmonary Edema/CHF,Medical - Hypotension/Shock(Non-trauma) (Cardiogenic shock),Medical - Abdominal Aortic Aneurysm/Dissection,Cardiac Arrest - Unknown Rhythm (i.e. BLS),General - Cardiac Arrest,Medical - Supraventricular Tachycardia (including atrial fibrillation); Medical - Tachycardia; Medical - Ventricular Tachycardia with a Pulse,Medical - Bradycardia,General - Universal Patient Care/Initial Patient Contact,Medical - Abdominal Pain,Medical - Allergic Reaction/Anaphylaxis,General - Behavioral/Patient Restraint,Medical - Stroke/TIA,Medical - Dystonic/Extrapyramidal Reaction,Medical - Diabetic - Hyperglycemia,Medical - Diabetic - Hypoglycemia,Medical - Nausea/Vomiting,General - Pain Control,Medical - Respiratory Distress/Asthma/COPD/Croup/Reactive Airway,Medical - Seizure,Medical - Hypotension/Shock(Non-trauma),Medical - Sickle Cell Anemia/Crisis,Medical - Altered Mental Status,Airway - Failed,Medical - Sepsis,Medical - Overdose/Poisoning - Opioid,Medical - Overdose/Poisoning - Stimulant,medical - Overdose/Poisoning - Tricyclic Anti-depressant,Exposure- Organophosphate,Medical - Overdose/Poisoning - Calcium Channel Blocker,Medical - Overdose/Poisoning - Beta Blocker,Environmental - Hypothermia,Environmental - Heat Exposure/Heat Exhaustion; Environmental - Heat Stroke,Injury - Bites and Envenomations - Land,Injury - Diving Emergencies; Injury - Drowning/Near Drowning
Medical - Chest pain - Cardiac Suspected,1.0,1.0,0.29202804889576117,0.05000893719925381,0.2028009071582505,0.14340189668238235,0.14340189668238235,0.16141355562896698,0.20909801937363381,0.20909801937363381,0.31599011850937264,0.009433262328721215,0.005497939952726405,0.004510116513318452,0.005512848199961007,0.0027301210270280762,0.11860817088138886,0.22431896411331542,0.6299898464750205,0.001941721834968102,0.0,0.036083845500884726,0.25191891385951437,0.002735221447410563,0.0,0.011364427413150358,0.002240563941094731,0.002453183874166265,0.002240563941094731,0.1329891715432503,0.0,0.0,0.007692198286280427,0.25668946442288143,0.011466148496199868,4.95059286969024e-05
Medical - ST Elevation Myocardial Infarction,1.0,1.0,0.29202804889576117,0.05000893719925381,0.2028009071582505,0.14340189668238235,0.14340189668238235,0.16141355562896698,0.20909801937363381,0.20909801937363381,0.31599011850937264,0.009433262328721215,0.005497939952726405,0.004510116513318452,0.005512848199961007,0.0027301210270280762,0.11860817088138886,0.22431896411331542,0.6299898464750205,0.001941721834968102,0.0,0.036083845500884726,0.25191891385951437,0.002735221447410563,0.0,0.011364427413150358,0.002240563941094731,0.002453183874166265,0.002240563941094731,0.1329891715432503,0.0,0.0,0.007692198286280427,0.25668946442288143,0.011466148496199868,4.95059286969024e-05
Medical - Pulmonary Edema/CHF,0.29202804889576117,0.29202804889576117,1.0,0.07718882077287015,0.23325674960970355,0.32987485881310796,0.16493742940655398,0.18284106891701835,0.2514338833173648,0.2514338833173648,0.09200449549110812,0.2520215439899798,0.14685166051656218,0.16744535256021387,0.0033424087736994013,0.003140119863017987,0.1406506197940579,0.002093547577637689,0.18114981083542603,0.5739637493040322,4.026711211768674e-05,0.0627367536178437,0.2898207570431781,9.831207013966115e-05,0.0,0.29648233058756557,0.0026575756141239415,0.18344765696424092,0.0026575756141239415,0.1529982970379291,0.00013983791144034363,0.00019773654049559664,0.017831933448968273,0.5819303268563334,0.026444511213133737,0.00017082160296122417
Medical - Hypotension/Shock(Non-trauma) (Cardiogenic shock),0.05000893719925381,0.05000893719925381,0.07718882077287015,1.0,0.027115839931727392,0.019173794293293356,0.019173794293293356,0.06278421457973482,0.10805049956107682,0.10805049956107682,0.0004931606293118174,0.10832719783630962,0.07849313899328658,0.020044997023283995,0.02450159002139085,0.07008681052610388,0.07831761481902155,0.0004649506337657261,0.0,0.03323151586676476,0.01917340623443231,0.9263331616571918,0.03368324648892629,0.047177548710587325,0.0,0.2279250119997679,0.03864561480762574,0.0419849112114391,0.03864561480762574,0.01833274064088264,0.0005201920962166762,0.0007355729532821931,0.09950124481480627,0.16298777879469994,0.13167191723128147,0.0008472671138386456
Medical - Abdominal Aortic Aneurysm/Dissection,0.2028009071582505,0.2028009071582505,0.23325674960970355,0.027115839931727392,1.0,0.47262577602624156,0.47262577602624156,0.2599334655481397,0.326517597612786,0.326517597612786,0.0,0.0,0.0,0.23415895474876147,0.2862193844392803,0.004464107779862281,0.19393999502037373,0.0,0.2575291119918601,0.003174971169408347,0.0,0.02927223277121771,0.4055833930818602,0.004472447639555122,0.0,0.00619411231547129,0.23813513152364496,0.2607331367837842,0.23813513152364496,0.21740175029173203,0.0,0.0,0.0,0.0,0.0,0.0
Cardiac Arrest - Unknown Rhythm (i.e. BLS),0.14340189668238235,0.14340189668238235,0.32987485881310796,0.019173794293293356,0.47262577602624156,1.0,0.5025906735751295,0.36760143229281883,0.4653731587638694,0.4653731587638694,0.0014215159891498574,0.46294811520727297,0.2698176781205328,0.499313269722372,0.2055499749509928,0.003156600883088223,0.1371362856221915,0.0,0.18210058144239416,0.1459278368574265,0.002590621142427807,0.02069859429299914,0.28679076758483235,0.4111247470760532,0.0,0.28469342341055337,0.4999797615915401,0.547425702096488,0.4999797615915401,0.30745250374621635,0.5757823189607371,0.40708990379315024,0.5647919237924631,0.28362890030961063,0.0,0.47256839183321875
General - Cardiac Arrest,0.14340189668238235,0.14340189668238235,0.16493742940655398,0.019173794293293356,0.47262577602624156,0.5025906735751295,1.0,0.9105204707560589,0.4653731587638694,0.4653731587638694,0.0014215159891498574,0.0,0.0,0.16816250016556566,0.2055499749509928,0.003156600883088223,0.1371362856221915,0.0,0.18210058144239416,0.002245043643960387,0.002590621142427807,0.02069859429299914,0.28679076758483235,0.20872487159245767,0.40718927884743006,0.004379898821700867,0.4999797615915401,0.3658959355981708,0.4999797615915401,0.15372625187310818,0.2878911594803686,0.0,0.0,0.004363521543224724,0.0,0.0036633208669242245
Medical - Supraventricular Tachycardia (including atrial fibrillation); Medical - Tachycardia; Medical - Ventricular Tachycardia with a Pulse,0.16141355562896698,0.16141355562896698,0.18284106891701835,0.06278421457973482,0.2599334655481397,0.36760143229281883,0.9105204707560589,1.0,0.5118893808443524,0.5118893808443524,0.0015515754389577863,0.003947694148305092,0.0023008143548630677,0.00564763917270017,0.006903275637183182,0.006890818588289327,0.004605641911341385,0.0,0.19876159799998128,0.004900901015458148,0.002827646095377112,0.04518476158003104,0.3179213516871948,0.2312736832218798,0.44444444444444453,0.01434189306784095,0.3675865529569444,0.20433038712094898,0.3675865529569444,0.0,0.3142313245522892,0.0,0.0,0.014288265989634952,0.004798429826787354,0.003998490854499881
Medical - Bradycardia,0.20909801937363381,0.20909801937363381,0.2514338833173648,0.10805049956107682,0.326517597612786,0.4653731587638694,0.4653731587638694,0.5118893808443524,1.0,1.0,0.004082673327612807,0.030454555632226432,0.017703807841281005,0.007430339909818562,0.009082323233995937,0.00439560439560438,0.00885962389922923,0.002930590976175873,0.25357723256010467,0.0031262500630302448,0.0036638375853054184,0.08782019859060664,0.40569705908360465,0.286385677268011,0.0,0.02468213898994831,0.23459359107474886,0.0040114389126104655,0.23459359107474886,0.2141701642986189,0.4010876228018958,0.5671543442798255,0.41820125396232366,0.04291355670286612,0.03701757092047553,0.3318182908617884
General - Universal Patient Care/Initial Patient Contact,0.20909801937363381,0.20909801937363381,0.2514338833173648,0.10805049956107682,0.326517597612786,0.4653731587638694,0.4653731587638694,0.5118893808443524,1.0,1.0,0.004082673327612807,0.030454555632226432,0.017703807841281005,0.007430339909818562,0.009082323233995937,0.00439560439560438,0.00885962389922923,0.002930590976175873,0.25357723256010467,0.0031262500630302448,0.0036638375853054184,0.08782019859060664,0.40569705908360465,0.286385677268011,0.0,0.02468213898994831,0.23459359107474886,0.0040114389126104655,0.23459359107474886,0.2141701642986189,0.4010876228018958,0.5671543442798255,0.41820125396232366,0.04291355670286612,0.03701757092047553,0.3318182908617884
