Required Concept,CUI,Preferred Name
iv/io/vascular access,C0398266,Venous cannula insertion
,C0511030,"Establish IV access, as appropriate"
,C0512753,"Maintain IV access, as appropriate"
,C0512826,Maintain patent IV access
,C3842042,General-IV access
,C0511982,"Initiate and maintain IV access, as appropriate"
,C1735535,"Maintain patent IV access, as appropriate"
,C0512038,Insert and maintain large bore IV access
,C2215468,admission to trauma bay intravenous accessory secured
,C2231022,Axis IV problems access to health care
,C0510981,Ensure that IV access is in place at all times during therapy
,C0511029,Establish IV access and discontinue intraosseous line after patient's condition stabilizes
,C2026164,central venous line through two tunneled access sites
,C0750138,vascular access
,C0042371,Implantable Injection/Infusion Ports
,C0184269,Vascular Access Devices
,C0280956,poor vascular access
,C0349422,Arterial steal syndrome
,C0398220,Construction of vascular access
,C0398232,Insertion of graft for vascular access
,C0398233,Superficialization of vessel for vascular access
,C0457910,Vascular access incision
,C0493494,"GRAFT, VASCULAR ACCESS"
,C0749854,UPPER EXTREMITY VASCULAR ACCESS
,C0750139,VASCULAR ACCESS INFECTED
,C0750140,VASCULAR ACCESS PERIPHERAL
,C0750141,VASCULAR ACCESS PERMANENT
,C0750142,VASCULAR ACCESS PLACEMENT ELECTIVE
,C0771298,"syringe,vascular access, disposable"
,C0920165,Vascular access complication
,C1138773,"DEVICE, FLUSH, VASCULAR ACCESS"
,C1519955,Vascular Access Device Placement
,C1543260,Guidance for vascular access:Find:Pt:XXX:Doc:US
,C1545497,Guidance for vascular access
,C1608324,Vascular Access Ports
,C1868857,Vascular access operation
nausea,C0027497,Nausea
,C1963179,Nausea Adverse Event
,C2984057,Have Nausea
,C3829611,How Much Nausea During This Period
,C4084796,How Often Nausea
,C4085222,How Much Distress Nausea
,C4085661,Usual Severity Nausea
,C4085862,Bothered by Nausea
,C4255480,Nausea:Presence or Threshold:Point in time:^Patient:Ordinal
,C0423584,No nausea
,C0026603,Motion Sickness
,C0027498,Nausea and vomiting
,C0240352,Morning nausea
,C0306071,Emetrol
,C0312416,Morning Sickness
,C0375548,No vomiting
,C0423583,Nausea present
,C0520904,Postoperative Nausea
,C0549280,Nausea aggravated
,C0718572,Anti-Nausea
,C0722001,Nausea Control
,C0746779,chronic nausea
,C0746780,NAUSEA EXERTIONAL
,C0746781,NAUSEA INTRACTABLE
,C0746782,Persistent nausea
,C0042963,Vomiting
,C1963281,Vomiting Adverse Event
,C3898969,Have Been Vomiting
,C4084766,How Much Distress Vomiting
,C4084767,Bothered by Vomiting
,C4084768,Usual Severity Vomiting
,C4084769,How Often Vomiting
,C0375548,No vomiting
,C2129186,vomit containing blood at beginning of vomiting
,C0014498,Epidemic vomiting syndrome
,C0018926,Hematemesis
,C0027498,Nausea and vomiting
,C0042964,"Vomiting, Anticipatory"
,C0152164,Cyclical vomiting syndrome (disorder)
,C0152165,Persistent vomiting
,C0152517,Enteritis due to specified virus
,C0221151,Projectile vomiting
,C0232597,Acute vomiting
,C0232598,Chronic vomiting
,C0232599,Vomiting bile
,C0232601,Concealed vomiting
,C0233757,Psychogenic vomiting
,C0241706,Feculent vomiting
,C0267172,Habit vomiting
,C0269661,Vomiting of pregnancy
evisceration,C0015258,Evisceration - action
,C0030788,Pelvic Exenteration
,C0162661,Orbit Evisceration
,C0162662,Evisceration of eye proper (procedure)
,C0182454,"Prostheses, Evisceration"
,C0741607,BOWEL EVISCERATION
,C1096227,Wound evisceration
,C1397032,traumatic; evisceration
,C3670051,Abdominal evisceration
,C0176294,Other evisceration of eyeball
,C0198546,Closure of abdominal wall dehiscence
,C0372967,Evisceration of ocular contents; with implant
,C0844441,Evisceration of eyeball without implant
,C1391275,c.surgical procedure; evisceration
,C1397030,evisceration; birth injury
,C1397031,operation wound; evisceration
,C1397033,"traumatic; evisceration, eye"
,C1536445,Evisceration of ocular contents without implant procedure
,C1556059,Insertion of orbital implant with synchronous evisceration
,C2012222,globe evisceration of left eye
,C2012223,globe evisceration of right eye
,C2012224,globe evisceration with implant
,C2012227,globe evisceration without implant
,C3536671,History of evisceration of eye proper
open chest wound,C0160552,Open wound of chest wall
,C0273314,Open wound of chest wall with complication
,C0273313,"Open wound of chest wall, uncomplicated"
,C2045936,open wound of left anterior chest
,C2046067,open wound of right anterior chest
,C2073046,open wound of left lateral chest
,C2073198,open wound of right lateral chest
,C0273125,Crushed chest without open wound into thoracic cavity
,C0273126,Crushed chest with open wound into thoracic cavity
,C0438326,"Splinter of chest wall, without major open wound"
,C2045993,open wound of right anterior chest with protruding bone
,C2072957,open wound of left lateral chest with protruding bone
