Required Concept,CUI,Preferred Name
unstable,C0443343,Unstable status
,C1883468,Unstable Medical Device Problem
,C0002965,"Angina, Unstable"
,C0022410,Joint Instability
,C0041899,Personality unstable
,C0085633,Mood swings
,C0149798,UNSTABLE ENVIRONMENT
,C0231686,"Gait, Unsteady"
,C0277851,Ankle instability
,C0314669,Molecular instability
,C0342302,Brittle diabetes
,C0347532,Unstable hemoglobin
,C0406318,Unstable psoriasis
,C0426066,Unstable lie
,C0427117,Unsteady when standing
,C0427262,Unstable knee
,C0431954,Congenital instability of hip joint
,C0455881,Hip unstable
,C0457728,Denture unstable
,C0559876,Unstable fracture
,C0575249,Neck unstable
,C0575695,Elbow joint unstable
,C0576132,Meniscus unstable
,C0860557,Unstable feeling
,C1261562,Detrusor instability
spinal motion restriction,C0183440,Spine board
