Required Concept,CUI,Preferred Name
history of symptoms,C0455980,History/symptoms
,C0488517,History of symptoms & diseases:Finding:Point in time:Ear:Narrative:Reported
,C0488518,History of symptoms & diseases:Finding:Point in time:Ear:Nominal:Reported
,C0488521,History of symptoms & diseases:Finding:Point in time:Eyes:Narrative:Reported
,C0488522,History of symptoms & diseases:Finding:Point in time:Eyes:Nominal:Reported
,C0488537,History of symptoms & diseases:Finding:Point in time:Skin:Narrative:Reported
,C0488538,History of symptoms & diseases:Finding:Point in time:Skin:Nominal:Reported
,C0489538,History of psychiatric symptoms & diseases
,C0543426,History of symptoms & diseases:Finding:Point in time:Psychiatric:Narrative:Reported
,C0543427,History of symptoms & diseases:Finding:Point in time:Psychiatric:Nominal:Reported
,C0551594,History of symptoms & diseases:Finding:Point in time:Breasts:Narrative:Reported
,C0551595,History of symptoms & diseases:Finding:Point in time:Breasts:Nominal:Reported
,C0944983,History of symptoms & diseases:Finding:Point in time:^Patient:Nominal:Observed
,C0944990,History of symptoms & diseases:Finding:Point in time:Behavior:Nominal:Observed
,C0944991,History of symptoms & diseases:Finding:Point in time:Behavior:Narrative:Observed
,C2039354,symptoms recur seasonally
,C2039355,symptoms recur in fall
,C2039356,symptoms recur in spring
,C2039357,symptoms recur in summer
,C2039358,symptoms recur in winter
,C3695253,angina with associated symptoms
,C4540883,History of previous withdrawal symptoms
,C0488510,Deprecated History of psychiatric symptoms and diseases
,C0488515,History of symptoms & diseases:Finding:Point in time:Cardiovascular system:Narrative:Reported
,C0488516,History of symptoms & diseases:Finding:Point in time:Cardiovascular system:Nominal:Reported
,C0488519,History of symptoms & diseases:Finding:Point in time:Endocrine system:Narrative:Reported
,C0488520,History of symptoms & diseases:Finding:Point in time:Endocrine system:Nominal:Reported
,C0488523,History of symptoms & diseases:Finding:Point in time:Hematologic system:Narrative:Reported
,C0488524,History of symptoms & diseases:Finding:Point in time:Hematologic system:Nominal:Reported
,C0488525,History of symptoms & diseases:Finding:Point in time:Musculoskeletal system:Narrative:Reported
,C0488526,History of symptoms & diseases:Finding:Point in time:Musculoskeletal system:Nominal:Reported
,C0488527,History of symptoms & diseases:Finding:Point in time:Neurologic system:Narrative:Reported
,C0488528,History of symptoms & diseases:Finding:Point in time:Neurologic system:Nominal:Reported
,C0488531,History of symptoms & diseases:Finding:Point in time:Oral cavity:Narrative:Reported
,C0488532,History of symptoms & diseases:Finding:Point in time:Oral cavity:Nominal:Reported
,C0488533,History of symptoms & diseases:Finding:Point in time:Reproductive system:Narrative:Reported
,C0488534,History of symptoms & diseases:Finding:Point in time:Reproductive system:Nominal:Reported
,C0488535,History of symptoms & diseases:Finding:Point in time:Respiratory system:Narrative:Reported
,C0488536,History of symptoms & diseases:Finding:Point in time:Respiratory system:Nominal:Reported
,C0488539,History of symptoms & diseases:Finding:Point in time:Throat+Neck:Narrative
,C0488540,History of symptoms & diseases:Finding:Point in time:Throat+Neck:Nominal
,C0488541,History of symptoms & diseases:Finding:Point in time:Urinary tract:Narrative:Reported
