Required Concept,CUI,Preferred Name
glucagon,C0017687,Glucagon
,C0337437,Glucagon measurement
,C0772088,"glucagon, human"
,C1333664,GCG gene
,C0030280,Structure of alpha Cell of islet
,C0043578,"glucagon, N(alpha)-trinitrophenyl-His(1)-homo-Arg(12)-"
,C0061352,Glucagon Receptor
,C0061353,"glucagon, 12-(N(6)-(4-azidophenylamidino)Lys)-"
,C0061362,"glucagon, 2-nitro-4-azidophenylsulfenyl-"
,C0068318,N-trinitrophenylglucagon
,C0072092,Proglucagon
,C0154191,Abnormality of secretion of glucagon
,C0271719,Glucagon resistance
,C0274545,Poisoning by glucagon
,C0342219,Glucagon deficiency
,C0484730,Glucagon Ag:PrThr:Pt:Tiss:Ord:Immune stain
,C0486836,Glucagon Ag
,C0492444,"RADIOIMMUNOASSAY, GLUCAGON"
,C0494303,Increased secretion of glucagon (finding)
,C0544376,Glucagon Injectable Product
,C0571580,Glucagon allergy
,C0573690,Glucagon overdose
,C0591570,Glucagon Novo
,C0617735,"glucagon, di-(delta-(5-nitro-2-pyrimidyl)Orn)(17,18)-"
,C0624870,"glucagon, carboxy-Me-Met(27)-"
epinephrine,C0014563,Epinephrine
,C0201998,Epinephrine measurement
,C0001636,epinephrine hydrochloride
,C0026454,Monoamine Oxidase
,C0034783,Adrenergic Receptor
,C0058415,Dipivefrin
,C0059445,epinephrine cyclase
,C0059446,epinephrine sulfate
,C0059447,epinephryl borate
,C0082449,epinephrine glucuronide
,C0116337,epinephrine sulfoconjugate
,C0205758,Racepinephrine
,C0271747,Epinephrine deficiency
,C0274715,Poisoning by epinephrine
,C0359949,Epinephrine / Lidocaine
,C0359953,Bupivacaine / Epinephrine
,C0359957,Cocaine / Epinephrine
,C0363599,Epinephrine^supine:MCnc:Pt:Plas:Qn
,C0428371,Urine epinephrine measurement
,C0521932,Epinephrine Acetate
,C0544333,Epinephrine Injectable Product
,C0677669,cisplatin-epinephrine therapeutic implant
,C0700536,epinephrine bitartrate
,C0717588,Epinephrine + chlorpheniramine
,C0717745,EPINEPHrine ophthalmic
nitroglycerin,C0017887,Nitroglycerin
,C0274735,Poisoning by nitroglycerin
,C0336694,Explosive nitroglycerin
,C0668116,nitroglycerin reductase
,C0699222,Nitroglycerin Transdermal System
,C0939706,Nitroglycerin ER
,C1154908,nitroglycerin metabolic process
,C1266654,Nitroglycerin measurement
,C1319419,Nitroglycerin prophylaxis
,C1445777,Transdermal glyceryl trinitrate
,C1562125,nitroglycerin 2.5mg
,C2193899,Caffeine / Nitroglycerin
,C3214209,Nitroglycerin Pill
,C4235702,response to nitroglycerin
,C4307250,Nitroglycerin Injection
,C0979029,Nitroglycerin 2.5 MG Extended Release Oral Capsule
,C0979035,Nitroglycerin 6.5 MG Extended Release Oral Capsule
,C0979038,Nitroglycerin 9 MG Extended Release Oral Capsule
,C1948382,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray
,C0182008,Nitroglycerin Intravenous Administration Sets
,C0306997,Nitroglycerin Topical Ointment [Nitrol]
,C0493314,"CONTAINER, SUPPLEMENTARY NITROGLYCERIN"
,C0550737,Nitroglycerin:MCnc:Pt:Ser/Plas:Qn
,C0571982,Modified release glyceryl trinitrate allergy
,C0689779,Nitroglycerin 0.3 MG Sublingual Tablet
transport,C0005528,Biological Transport
,C0040756,transportation industry
,C0150390,Patient Transport
,C0206243,Carrying
,C1317949,transport (device)
,C1519628,Molecular Transport
,C1704649,Transport Device Component
,C1705822,Transfer Technique
,C3495449,Mobility aid
,C1550030,Remote control command - Transport To
,C0798684,Transport direction:Type:Pt:Ambulance transport:Nom
,C2262764,Golgi to transport vesicle transport
,C0004462,Axonal Transport
,C0005529,"Biological Transport, Active"
,C0007292,Carrier Proteins
,C0013846,Electron Transport
,C0026687,Mucociliary Clearance
,C0029979,Ovum Transport
,C0030636,Pasteurella Infections
,C0030704,Patient Transfer
,C0035246,Respiratory Transport
,C0035711,Transfer RNA
,C0036969,"Pasteurellosis, Pneumonic"
,C0037852,Sperm Transport
,C0040757,Transportation of Patients
diazepam,C0012010,Diazepam
,C0202368,Diazepam measurement
,C0057738,Diazepam Binding Inhibitor
,C0205923,Benzodiazepine Receptor
,C0246215,pro-diazepam
,C0274678,Poisoning by diazepam
,C0338769,Diazepam dependence
,C0360115,Diazepam Oral Product
,C0360116,Diazepam in parenteral dosage form
,C0360118,Diazepam Rectal Product
,C0365777,Diazepam:MCnc:Pt:Ser/Plas:Qn
,C0366443,Diazepam:Mass:Pt:Dose:Qn
,C0570822,Diazepam allergy
,C0572995,Diazepam overdose
,C0719881,Diastat
,C0743194,DIAZEPAM TREATMENT
,C0797871,Diazepam:SCnc:Pt:Ser/Plas:Qn
,C0802328,Diazepam cutoff:MCnc:Pt:Urine:Qn:Screen
,C0802329,Diazepam cutoff:MCnc:Pt:Urine:Qn:Confirm
,C0804035,Diazepam+Nordiazepam:MCnc:Pt:Urine:Qn
,C0805907,Diazepam cutoff
,C0805908,Diazepam+Nordiazepam
,C1323258,diazepam binding
,C1347920,Diazepam Powder
,C1368507,Diazepam Enema
fentanyl,C0015846,Fentanyl
,C0524136,Fentanyl measurement
